Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Gianluca","DI GREGORIO","JUV","P","Por",78,18,18,5876
"Gianluca","CORVI","PAR","P","Por",1,1,1,6662
"Gianluca","CASALE","BOL","D","Dc",1,8,8,5498
"Gianluca","BUONGIORNO","NAP","D","Dc",33,16,16,2724
"Gianluca","PALACIOS T.","INT","D","Dc",3,3,3,6874
"Gianluca","BEUKEMA","BOL","D","Dc",3,7,7,6202
"Gianluca","BASCHIROTTO","LEC","D","Dc,Dd",3,8,9,5835
"Gianluca","VOGLIACCO","GEN","D","Dc,Dd",1,5,5,6245
"Gianluca","ZAPPA","CAG","D","B,Dd,E",1,6,7,4461
"Gianluca","CAMBIASO","JUV","D","Ds,Dd,E",17,10,11,5520
"Gianluca","GALLO","LEC","D","Ds,E",1,5,5,4502
"Gianluca","DODO'","FIO","D","Dd,E",11,9,9,5885
"Gianluca","EDERSON D.S.","ATA","C","M,C",32,15,18,5792
"Gianluca","GILMOUR","NAP","C","M,C",60,7,8,5131
"Gianluca","ROVELLA","LAZ","C","M,C",3,7,7,4459
"Gianluca","HERNANI","PAR","C","C",1,6,4,4423
"Gianluca","FERGUSON","BOL","C","C,T",9,17,17,5858
"Gianluca","FRATTESI","INT","C","C,T",16,18,17,2848
"Gianluca","FAGIOLI","JUV","C","C,T",1,10,9,4465
"Gianluca","OUDIN","LEC","C","W,T",1,6,6,6061
"Gianluca","NGONGE","NAP","A","W,A",1,9,10,6145
"Gianluca","VLASIC","TOR","C","T",1,14,13,5687
"Gianluca","BALDANZI","ROM","C","T,A",1,9,9,5823
"Gianluca","SCAMACCA","ATA","A","Pc",3,27,26,2137
"Gianluca","COLOMBO","EMP","A","Pc",2,13,12,4923
"Gianluca","LUCCA","UDI","A","Pc",5,14,14,6215
"Gianluca","SOLBAKKEN","EMP","A","A",1,4,4,6119
"Gianluca","KVARATSKHELIA","NAP","A","A",129,30,31,5839
"Gianluca","GUDMUNDSSON A.","FIO","A","A",42,26,27,5800
"Vincenzo","RYAN","ROM","P","Por",60,1,1,5384
"Vincenzo","REINA","COM","P","Por",1,2,2,387
"Vincenzo","BANI","GEN","D","Dc",1,7,7,2285
"Vincenzo","DJIMSITI","ATA","D","Dc",1,8,8,787
"Vincenzo","BASTONI","INT","D","Dc",26,16,16,2120
"Vincenzo","LUCUMI'","BOL","D","Dc",6,6,6,6042
"Vincenzo","MAGNANI","VER","D","Dc",2,4,4,2769
"Vincenzo","MASINA","TOR","D","B,Ds,E",1,6,7,49
"Vincenzo","CABAL","JUV","D","B,Ds,E",4,6,7,6039
"Vincenzo","DARMIAN","INT","D","B,Dd,E",11,9,10,2525
"Vincenzo","VALERI","PAR","D","Ds,E",5,7,7,5862
"Vincenzo","HERNANDEZ T.","MIL","D","Ds,E",28,20,20,4292
"Vincenzo","HOLM","BOL","D","Dd,E",2,8,8,5678
"Vincenzo","MAZZOCCHI","NAP","D","E",10,4,4,5481
"Vincenzo","ADLI","FIO","C","M,C",1,4,6,5875
"Vincenzo","MORO N.","BOL","C","M,C",1,3,3,6054
"Vincenzo","LOBOTKA","NAP","C","M,C",12,9,10,4287
"Vincenzo","PAYERO","UDI","C","C",1,8,7,6481
"Vincenzo","FAZZINI","EMP","C","C,T",3,5,5,6010
"Vincenzo","AEBISCHER","BOL","C","C,T",2,10,10,5784
"Vincenzo","TCHAOUNA","LAZ","C","W",1,9,9,5919
